# GRE High-Frequency Vocabulary — word,chinese,pos
abate,减少/减弱,v
chicanery,诡计/欺骗,n
disseminate,传播/散布,v
gainsay,否认/反驳,v
latent,潜在的/隐藏的,adj
aberrant,异常的/偏离正轨的,adj
coagulate,凝固/凝结,v
dissonance,不和谐/不一致,n
gregarious,群居的/爱社交的,adj
laud,赞美/称赞,v
abstemious,有节制的/节俭的,adj
cognizant,认知的/意识到的,adj
dogmatic,教条的/武断的,adj
guileless,真诚的/不狡诈的,adj
lethargic,昏昏欲睡的/无精打采的,adj
accolade,荣誉/赞扬,n
commensurate,相称的/相当的,adj
ebullient,热情洋溢的/兴高采烈的,adj
hackneyed,陈腐的/老套的,adj
levity,轻率/轻浮,n
acumen,敏锐/聪明才智,n
compendious,简明的/扼要的,adj
eclectic,折中的/兼收并蓄的,adj
harangue,长篇大论/慷慨陈词,n
loquacious,多话的/健谈的,adj
adamant,坚定不移的,adj
complaisant,顺从的/殷勤的,adj
efficacy,功效/效力,n
iconoclast,反传统者/偶像破坏者,n
lucid,清晰的/明了的,adj
admonish,劝告/警告,v
concede,承认/让步,v
egregious,极其恶劣的,adj
idiosyncratic,独特的/特质的,adj
luminous,发光的/明亮的,adj
advocate,提倡/拥护,v
conciliatory,调和的/安抚的,adj
elegy,挽歌/悲歌,n
immutable,不可改变的,adj
magnanimous,宽宏大量的,adj
aesthetic,审美的/美学的,adj
condone,宽恕/容忍,v
eloquent,雄辩的/有说服力的,adj
impede,阻碍/妨碍,v
malleable,可锻的/易塑的,adj
affable,和蔼可亲的,adj
confound,使困惑/使混淆,v
elusive,难以捉摸的,adj
impervious,不受影响的/不渗透的,adj
maverick,特立独行者,n
aggrandize,扩大/夸大,v
connoisseur,鉴赏家/行家,n
embellish,装饰/润色,v
implacable,不能安抚的/无情的,adj
meticulous,一丝不苟的,adj
alacrity,敏捷/热忱,n
conspicuous,显著的/引人注目的,adj
eminent,杰出的/著名的,adj
implicit,含蓄的/隐含的,adj
mitigate,减轻/缓和,v
alleviate,减轻/缓解,v
contrite,悔恨的/痛悔的,adj
empirical,经验的/实证的,adj
impugn,质疑/抨击,v
mollify,安抚/平息,v
amalgamate,合并/混合,v
conundrum,难题/谜团,n
enervate,使衰弱/使无力,v
inchoate,初期的/未成形的,adj
morose,郁闷的/阴郁的,adj
ambiguous,模棱两可的,adj
copious,大量的/丰富的,adj
engender,产生/引起,v
incisive,敏锐的/一针见血的,adj
mundane,平凡的/世俗的,adj
ameliorate,改善/改进,v
corroborate,证实/确认,v
ephemeral,短暂的/转瞬即逝的,adj
indifferent,漠不关心的,adj
nefarious,极恶的/邪恶的,adj
anachronism,时代错误/不合时宜的事物,n
craven,怯懦的/胆小的,adj
equivocal,模棱两可的/含糊的,adj
indigent,贫穷的/贫困的,adj
nonchalant,漫不经心的/冷淡的,adj
anomaly,反常/异常,n
credulous,轻信的,adj
erudite,博学的,adj
indolent,懒惰的/怠惰的,adj
novel,新颖的,adj
antipathy,反感/厌恶,n
curtail,缩短/削减,v
esoteric,深奥的/难懂的,adj
inexorable,不可阻挡的/无情的,adj
obdurate,顽固的/执拗的,adj
apathy,冷漠/无动于衷,n
cynical,愤世嫉俗的,adj
exacerbate,恶化/加剧,v
ingenious,巧妙的/有创意的,adj
obsequious,谄媚的/奉承的,adj
appease,安抚/平息,v
deference,尊敬/恭顺,n
exalt,赞扬/提升,v
innocuous,无害的/无恶意的,adj
obstinate,固执的/倔强的,adj
apprehensive,忧虑的/担心的,adj
deleterious,有害的,adj
exonerate,免罪/证明无辜,v
insipid,乏味的/无趣的,adj
onerous,繁重的/艰巨的,adj
arbitrary,任意的/武断的,adj
delineate,描绘/阐明,v
expedient,权宜之计/方便的,adj
insular,狭隘的/孤立的,adj
opaque,不透明的/晦涩的,adj
arcane,神秘的/深奥的,adj
demur,反对/异议,v
extraneous,无关的/外来的,adj
intransigent,不妥协的,adj
opportunist,机会主义者,n
arduous,艰难的/费力的,adj
denigrate,贬低/诋毁,v
facetious,爱开玩笑的,adj
inundate,淹没/使应接不暇,v
ostentatious,炫耀的/卖弄的,adj
articulate,清晰表达/善于表达的,v
denounce,谴责/公开指责,v
fallacious,谬误的/靠不住的,adj
inveterate,根深蒂固的,adj
pacify,平息/安抚,v
ascetic,禁欲的/苦行的,adj
deplete,耗尽/大量减少,v
fathom,理解/领悟,v
irascible,易怒的/暴躁的,adj
paradigm,范式/典范,n
assiduous,勤勉的/刻苦的,adj
deride,嘲笑/嘲弄,v
fervent,热烈的/热情的,adj
irreverent,不敬的/无礼的,adj
paradox,悖论/矛盾,n
astute,精明的/敏锐的,adj
derivative,派生的/缺乏创意的,adj
flagrant,公然的/明目张胆的,adj
itinerant,巡回的/流动的,adj
paragon,模范/典范,n
audacious,大胆的/无畏的,adj
desiccate,使干燥/脱水,v
florid,华丽的/过分修饰的,adj
judicious,明智的/审慎的,adj
parsimonious,吝啬的/小气的,adj
austere,严峻的/朴素的,adj
desultory,散漫的/无计划的,adj
foment,煽动/激起,v
laconic,简洁的/言简意赅的,adj
pedantic,迂腐的/卖弄学问的,adj
avarice,贪婪/贪财,n
diatribe,抨击/长篇大论,n
forestall,预先阻止/先发制人,v
languid,无力的/倦怠的,adj
penchant,爱好/嗜好,n
aversion,厌恶/反感,n
dichotomy,二分法/对立,n
fortuitous,偶然的/幸运的,adj
lassitude,疲倦/懈怠,n
pernicious,有害的/恶性的,adj
benevolent,仁慈的/善意的,adj
diffident,缺乏自信的/羞怯的,adj
frivolous,轻浮的/不严肃的,adj
laudable,值得赞赏的,adj
pertinacious,坚持不懈的/固执的,adj
bolster,支持/加强,v
digress,离题/跑题,v
frugal,节俭的/朴素的,adj
lavish,奢侈的/大方的,adj
pervasive,普遍的/弥漫的,adj
bombastic,夸大的/浮夸的,adj
diligent,勤奋的/刻苦的,adj
furtive,偷偷摸摸的/鬼鬼祟祟的,adj
pedantic,学究式的/迂腐的,adj
placate,安抚/平息,v
bucolic,田园的/乡村的,adj
diminish,减少/减弱,v
futile,徒劳的/无用的,adj
penurious,贫穷的/吝啬的,adj
plethora,过多/过剩,n
burgeon,迅速发展/萌芽,v
discerning,有辨别力的/有眼光的,adj
galvanize,激励/刺激,v
perfidy,背信弃义/不忠,n
polemical,好争论的/辩论的,adj
cacophony,刺耳的声音/噪音,n
discreet,谨慎的/小心的,adj
garrulous,多嘴的/唠叨的,adj
perfunctory,敷衍的/潦草的,adj
pragmatic,务实的/实用的,adj
candid,坦率的/直言不讳的,adj
disparage,贬低/轻视,v
germane,相关的/切题的,adj
peripheral,外围的/次要的,adj
precarious,不稳定的/危险的,adj
capricious,反复无常的/善变的,adj
disparate,完全不同的/迥异的,adj
glib,油嘴滑舌的,adj
pernicious,有害的/致命的,adj
predilection,偏好/偏爱,n
castigate,严厉批评/惩罚,v
dissemble,掩饰/伪装,v
gratuitous,无偿的/不必要的,adj
perspicacious,有洞察力的/敏锐的,adj
presumptuous,放肆的/专横的,adj
catalyze,催化/促进,v
dissolution,解散/瓦解,n
guile,狡诈/诡计,n
phlegmatic,冷静的/迟钝的,adj
prevalent,流行的/普遍的,adj
caustic,腐蚀性的/尖刻的,adj
dissonant,不和谐的/不一致的,adj
gustatory,味觉的,adj
pious,虔诚的/虚伪虔诚的,adj
probity,正直/诚实,n
censure,谴责/指责,v
divergent,分歧的/不同的,adj
hapless,不幸的/倒霉的,adj
pithy,简洁有力的/精辟的,adj
prodigal,挥霍的/浪费的,adj
cerebral,大脑的/理智的,adj
doctrine,教义/学说,n
hedonist,享乐主义者,n
placid,平静的/温和的,adj
prodigious,巨大的/惊人的,adj
charlatan,江湖骗子/冒牌货,n
dogma,教条/信条,n
heresy,异端/异教,n
platitude,陈词滥调,n
profligate,挥霍的/放荡的,adj
circumscribe,限制/约束,v
dormant,休眠的/潜伏的,adj
homogeneous,同质的/均匀的,adj
plausible,似乎合理的/可信的,adj
prolific,多产的/丰富的,adj
clamorous,喧闹的/吵闹的,adj
dubious,可疑的/不确定的,adj
hyperbole,夸张/夸大其词,n
pontificate,以教皇自居/自以为是地说,v
propensity,倾向/嗜好,n
clairvoyant,有预知能力的/千里眼的,adj
duplicity,口是心非/欺骗,n
iconoclastic,打破偶像的/反传统的,adj
precipitate,促使/加速,v
propriety,得体/礼节,n
coerce,强制/胁迫,v
ebullience,热情/兴奋,n
ignominious,可耻的/丢脸的,adj
preclude,排除/阻止,v
prosaic,平凡的/乏味的,adj
cogent,有说服力的/令人信服的,adj
effervescent,冒泡的/活泼的,adj
imminent,迫在眉睫的/即将发生的,adj
precursor,先驱/前兆,n
proscribe,禁止/排斥,v
complacent,自满的/得意的,adj
egregious,极其恶劣的/过分的,adj
impetuous,冲动的/鲁莽的,adj
predatory,掠夺的/捕食性的,adj
prudent,谨慎的/明智的,adj
contentious,有争议的/好争论的,adj
elicit,引出/诱出,v
implacable,不能和解的,adj
proponent,支持者/拥护者,n
pugnacious,好斗的/好争吵的,adj
convoluted,复杂的/费解的,adj
enumerate,列举/枚举,v
impudent,无礼的/放肆的,adj
protean,多变的/千变万化的,adj
querulous,爱抱怨的/多牢骚的,adj
cosmopolitan,世界性的/见多识广的,adj
evanescent,短暂的/消逝的,adj
incendiary,煽动性的/纵火的,adj
provincial,地方的/狭隘的,adj
quixotic,堂吉诃德式的/不切实际的,adj
recalcitrant,不服从的/顽抗的,adj
redundant,多余的/冗余的,adj
refute,驳斥/反驳,v
relinquish,放弃/交出,v
repudiate,否认/拒绝,v
rescind,废除/撤销,v
resilient,有弹性的/适应力强的,adj
reticent,沉默寡言的/不愿透露的,adj
reverent,虔诚的/恭敬的,adj
rhetoric,修辞/花言巧语,n
sagacious,睿智的/精明的,adj
salient,显著的/突出的,adj
sanction,制裁/批准,n
sardonic,嘲讽的/讥笑的,adj
satiate,使满足/使厌倦,v
scrupulous,一丝不苟的/谨慎的,adj
sedulous,勤勉的/坚持不懈的,adj
soporific,催眠的/令人昏昏欲睡的,adj
specious,似是而非的/华而不实的,adj
sporadic,零星的/间歇的,adj
spurious,虚假的/伪造的,adj
stolid,迟钝的/冷漠的,adj
strident,刺耳的/强硬的,adj
succinct,简洁的/简明的,adj
superfluous,多余的/过剩的,adj
sycophant,谄媚者/马屁精,n
taciturn,沉默寡言的,adj
tangential,离题的/不相关的,adj
tenacious,坚韧的/顽强的,adj
torpid,麻木的/迟缓的,adj
tractable,温顺的/易管理的,adj
transient,短暂的/临时的,adj
truculent,好斗的/粗暴的,adj
turgid,浮夸的/肿胀的,adj
ubiquitous,无处不在的,adj
unctuous,油腻的/虚伪殷勤的,adj
undermine,暗中破坏/削弱,v
unequivocal,明确的/毫不含糊的,adj
unprecedented,史无前例的,adj
vacillate,犹豫不决/动摇,v
vehement,激烈的/猛烈的,adj
venerate,尊敬/崇拜,v
verbose,冗长的/啰嗦的,adj
viable,可行的/能生存的,adj
vigilant,警惕的/警觉的,adj
vindicate,证明无辜/证实,v
virulent,剧毒的/恶毒的,adj
visceral,内脏的/出于本能的,adj
vitriolic,尖刻的/刻薄的,adj
vociferous,喧哗的/大声疾呼的,adj
volatile,不稳定的/易变的,adj
voracious,贪婪的/如饥似渴的,adj
wary,小心翼翼的/警惕的,adj
zealous,热心的/狂热的,adj
